trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-104.44840879513657,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-111.25448157865148,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-129.60771134166606,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-129.10440296824194,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-186.19008339932077,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-85.30899662686666,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-89.68636566196338,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-73.29196162918416,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-72.73444262223407,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-111.38071547053829,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-153.95054735990666,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-152.0141532949776,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-193.52731537085438,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-125.57967511846007,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-84.98140130878613,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-146.4920170525102,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,-19.956244129743283,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-65.71337320297084,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-64.1367999214661,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-115.33410277285839,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,5,-45.437397958364414,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-112.19203939667182,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-101.59618169555405,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",35,13,-53.05412091389536,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-69.45246033310738,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-52.45107970905435,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-59.70676856711102,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-163.88448952569374,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-22.145979827851434,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-150.33284006321497,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
