trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-67.1512391164887,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.999982000054}",20,14,-3.162090216569325,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-86.49694767126196,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,12,-104.80773388756336,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,7,-40.46145651488287,"{0: 6, 1: 4, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-110.0248354153943,"{0: 8, 1: 1, 2: 11, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9997795081032559}",25,0,-58.50260312865749,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,0,-113.25219965270792,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9996355221428369}",25,0,-54.39401787450803,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,4,-97.26752464562566,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.9994555494115813}",30,0,-120.18568780088057,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9993520699809768}",30,0,-174.7714150780979,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-29.762065446241348,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9991181296463766}",20,0,-48.9284713154677,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-90.77561301467692,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-111.5985091402731,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9986997818589368}",30,0,-153.65623853428545,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9985423542595644}",20,0,-69.44879489188932,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9983759397857438}",20,0,-45.537398747823225,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9982005399352042}",25,0,-101.03321003466101,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9980161562865429}",25,0,-109.67365892308189,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9978227904992117}",20,9,-46.100090149548585,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.9976204443135014}",20,0,-57.137615671528046,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9974091195505261}",35,0,-126.04369892923366,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9971888181122075}",35,0,-284.2197982915843,"{0: 18, 1: 4, 2: 6, 3: 3, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.9969595419812568}",20,0,-78.14651273737103,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9967212932211577}",20,12,-50.65925451485043,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-131.54842759826983,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9962178864711978}",20,0,-93.87058531791673,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,8,-57.29055317341994,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9956786159849162}",20,0,-110.73153613456674,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,0,-149.51933778623308,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9951035011759926}",20,0,-129.1145128084774,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.994802508570176}",30,14,-125.45666180196726,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,0,-174.83373167858127,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,0,-114.25451884604179,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9938458226961485}",20,9,-12.450024934537165,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
