trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-288.8561351651365,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.98076774710759,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,7,-53.89390775227183,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.02150649047925,"{0: 9, 1: 7, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,6,-60.35574600778603,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.00616239193056,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.95129970663447,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.43587211186733,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.39191854944144,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.27512691251835,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,11,-15.78199763268397,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.48903163383049,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.17723650528788,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.145948766617906,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.80670884174764,"{0: 17, 1: 7, 2: 3, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-261.3506525813001,"{0: 6, 1: 4, 2: 5, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.8788963615047,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.28806910564558,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.86451688134167,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.59400234250032,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.74645494673628,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.28584319871109,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.31128968862572,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.74600011992328,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.70208322064148,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-292.2746204585835,"{0: 12, 1: 1, 2: 12, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.56865592895159,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-220.13667735930392,"{0: 18, 1: 3, 2: 11, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-182.68360810076894,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.26635088793951,"{0: 18, 1: 6, 2: 3, 3: 2, 4: 1}",0
